EPISODES,DQN_runs,DQN_correct,PPO_runs,PPO_correct
706,14,4,14,10
707,18,7,18,10
708,19,12,19,10
709,17,7,17,11
710,18,9,18,11
711,15,7,14,8
712,21,12,19,16
713,18,9,18,14
714,12,5,12,9
715,21,15,20,13
716,18,12,18,13
717,21,13,21,12
718,14,9,14,11
719,12,5,12,9
720,17,7,17,12
721,17,11,18,14
722,24,12,24,17
723,18,9,15,10
724,17,8,16,11
725,18,6,18,12
726,18,8,18,10
727,16,8,17,12
728,16,12,17,13
729,15,9,15,13
730,18,13,18,11
731,21,12,21,16
732,18,8,17,12
733,12,7,12,8
734,15,9,14,8
735,14,7,14,10
736,24,11,24,15
737,21,12,21,9
738,17,10,17,9
739,20,12,21,16
740,21,8,21,14
741,18,12,18,11
742,14,7,15,8
743,15,8,14,10
744,15,10,15,10
745,15,10,15,11
746,15,9,15,9
747,15,7,15,11
748,15,8,14,11
749,15,7,15,13
750,21,8,21,12
751,18,10,18,12
752,18,7,18,13
753,15,6,15,8
754,16,9,16,9
755,10,7,10,6
756,17,8,15,11
757,18,12,18,11
758,15,7,14,10
759,20,10,21,14
760,18,14,17,9
761,18,8,18,15
762,16,8,15,11
763,14,7,15,12
764,17,11,17,10
765,19,10,17,14
766,20,14,20,16
767,12,9,9,5
768,18,11,17,13
769,15,7,15,9
770,17,8,17,11
771,23,12,23,16
772,15,8,14,8
773,24,13,22,17
774,14,6,14,8
775,17,7,17,13
776,14,11,14,9
777,18,8,15,12
778,18,10,18,12
779,12,10,12,7
780,21,10,19,12
781,12,7,11,8
782,18,11,18,12
783,17,10,18,11
784,21,13,20,15
785,20,14,21,10
786,17,7,17,12
787,15,6,15,10
788,15,9,14,11
789,15,8,14,8
790,15,10,14,7
791,16,11,18,12
792,20,9,20,14
793,19,10,18,12
794,20,9,20,14
795,15,7,15,10
796,17,8,18,12
797,15,9,16,13
798,16,11,16,10
799,15,10,14,7
800,15,9,15,11
801,12,7,12,6
802,13,7,10,4
803,21,13,19,15
804,18,11,18,13
805,18,13,17,15
806,21,10,21,15
807,12,4,12,10
808,14,5,15,12
809,16,9,18,12
810,18,10,17,6
811,15,7,14,8
812,10,5,13,10
813,18,11,17,10
814,18,9,18,11
815,18,10,18,10
816,17,7,17,11
817,15,8,15,9
818,20,12,20,12
819,18,9,17,11
820,17,11,17,12
821,17,10,18,14
822,17,14,18,13
823,12,7,12,6
824,23,13,24,13
825,19,11,21,14
826,20,14,20,13
827,12,7,11,6
828,18,10,17,12
829,17,9,17,12
830,14,8,15,8
831,18,11,18,14
832,18,9,17,9
833,15,12,14,9
834,17,9,16,14
835,13,7,12,8
836,20,12,20,15
837,18,13,16,9
838,11,4,12,9
839,12,6,13,10
840,20,13,21,11
841,17,8,18,14
842,13,10,15,10
843,18,10,19,15
844,13,8,13,9
845,16,9,16,12
846,23,14,23,15
847,16,7,16,12
848,14,8,10,6
849,11,8,11,10
850,20,15,20,11
851,11,8,10,6
852,15,9,15,11
853,15,9,13,11
854,17,8,18,11
855,21,12,21,16
856,19,7,21,14
857,18,13,18,14
858,17,8,16,13
859,15,9,15,9
860,23,15,24,14
861,14,10,14,9
862,17,9,18,10
863,14,9,14,10
864,12,6,12,7
865,15,10,15,11
866,18,10,17,10
867,15,9,14,7
868,15,9,15,9
869,20,13,21,15
870,13,8,15,12
871,15,7,17,12
872,15,8,14,8
873,12,7,12,9
874,24,14,23,17
875,23,13,23,16
876,15,5,15,9
877,14,8,15,10
878,20,8,21,13
879,18,8,18,12
880,15,12,15,10
881,17,11,18,12
882,21,15,21,14
883,12,8,12,10
884,18,10,17,13
885,21,12,21,13
886,18,10,18,15
887,18,11,17,7
888,15,6,15,13
889,12,8,12,10
890,20,10,18,9
891,18,12,18,13
892,23,14,24,15
893,10,4,10,5
894,21,14,20,11
895,24,12,24,17
896,20,12,21,12
897,17,13,18,12
898,18,7,18,12
899,12,6,12,7
900,15,8,15,10
901,14,8,13,7
902,21,10,21,16
903,17,9,18,13
904,21,11,20,12
905,21,15,20,14
906,18,9,18,11
907,19,13,19,13
908,23,17,22,15
909,18,7,18,10
910,20,11,20,16
911,14,9,14,9
912,14,10,14,7
913,13,4,15,13
914,15,7,15,10
915,14,8,15,9
916,15,8,14,10
917,16,8,18,11
918,19,11,20,11
919,17,9,17,8
920,20,15,19,13
921,17,10,18,15
922,17,11,18,16
923,18,10,18,14
924,21,13,19,12
925,21,15,21,14
926,13,8,15,13
927,14,5,15,11
928,15,11,15,10
929,19,12,21,19
930,14,7,14,11
931,12,6,11,8
932,12,9,12,8
933,17,11,18,16
934,14,10,14,9
935,15,9,14,9
936,20,11,20,13
937,20,11,21,17
938,14,10,15,13
939,18,12,18,13
940,14,8,15,9
941,18,9,17,11
942,18,13,17,12
943,21,11,20,13
944,11,6,11,8
945,18,13,18,11
946,12,5,12,7
947,18,10,17,12
948,14,9,14,10
949,15,7,15,7
950,19,10,19,14
951,18,11,18,13
952,21,11,21,19
953,14,9,15,10
954,12,8,11,10
955,20,13,21,11
956,15,7,14,13
957,17,10,18,13
958,15,8,15,11
959,15,9,14,10
960,21,8,21,15
961,14,11,14,11
962,16,9,13,9
963,21,9,21,15
964,19,10,21,16
965,18,9,18,12
966,22,10,21,12
967,17,11,16,11
968,12,7,12,10
969,12,8,12,9
970,19,11,19,14
971,13,9,15,11
972,15,8,14,8
973,17,8,18,14
974,18,8,18,13
975,18,12,17,12
976,17,14,16,10
977,14,7,14,11
978,11,7,12,7
979,15,9,15,12
980,17,11,18,10
981,12,6,12,10
982,14,7,15,11
983,19,12,19,11
984,18,10,18,16
985,21,10,18,10
986,18,13,18,10
987,18,7,18,8
988,21,12,20,13
989,14,7,14,10
990,15,8,15,12
991,17,10,17,11
992,22,16,22,14
993,18,9,18,16
994,16,11,17,12
995,17,5,18,14
996,15,9,15,12
997,19,9,20,14
998,15,6,13,11
999,18,10,18,15
1000,18,13,18,10
1001,19,8,21,18
1002,13,7,14,9
1003,24,15,24,18
1004,18,11,18,14
1005,11,8,11,8
1006,20,14,21,15
1007,12,7,12,9
1008,21,13,21,18
1009,15,8,15,9
1010,18,12,18,12
1011,17,11,17,9
1012,17,6,15,12
1013,14,7,14,11
1014,19,10,19,12
1015,15,9,14,9
1016,15,11,14,9
1017,15,9,17,15
1018,21,14,21,15
1019,23,13,23,15
1020,19,10,19,14
1021,21,12,21,15
1022,17,7,15,11
1023,11,6,11,6
1024,16,12,16,11
1025,17,13,18,13
1026,16,10,17,11
1027,16,10,17,13
1028,20,9,21,14
1029,12,9,12,7
1030,15,7,15,11
1031,17,9,17,13
1032,17,12,17,10
1033,15,9,15,9
1034,15,11,15,11
1035,20,11,21,16
1036,18,11,18,13
1037,15,8,14,8
1038,14,5,15,13
1039,17,8,14,9
1040,16,11,17,11
1041,18,13,18,13
1042,15,8,14,9
1043,20,14,21,13
1044,20,9,20,19
1045,12,9,12,9
1046,18,11,18,13
1047,18,12,18,12
1048,17,12,17,13
1049,11,5,12,9
1050,14,8,15,10
1051,15,10,15,12
1052,18,7,18,11
1053,14,10,14,12
1054,18,13,17,10
1055,16,8,17,12
1056,21,13,21,13
1057,22,14,24,18
1058,18,10,17,12
1059,18,13,18,12
1060,21,11,20,11
1061,13,7,12,8
1062,17,7,16,13
1063,19,11,18,10
1064,21,13,18,12
1065,14,8,14,11
1066,14,8,14,11
1067,13,5,13,9
1068,17,8,17,13
1069,17,7,16,11
1070,12,6,11,8
1071,17,12,17,13
1072,17,13,17,11
1073,14,7,14,6
1074,15,12,15,11
1075,17,11,17,14
1076,19,8,19,13
1077,18,10,18,14
1078,17,12,18,10
1079,17,10,17,9
1080,21,11,20,14
1081,18,13,20,14
1082,15,10,13,8
1083,18,11,19,13
1084,17,11,17,11
1085,20,13,21,14
1086,15,11,15,11
1087,21,12,21,14
1088,21,13,18,14
1089,18,10,18,9
1090,18,13,16,12
1091,19,12,18,12
1092,21,10,21,15
1093,12,6,12,8
1094,12,8,11,9
1095,14,9,13,7
1096,22,14,22,14
1097,15,7,15,11
1098,15,12,15,11
1099,20,12,21,14
1100,11,9,12,9
1101,21,9,21,15
1102,17,10,18,13
1103,11,9,12,10
1104,16,9,16,9
1105,13,6,14,9
1106,21,12,19,15
1107,18,11,16,9
1108,13,9,15,10
1109,21,12,21,14
1110,12,6,10,7
1111,13,7,15,13
1112,15,9,15,11
1113,15,10,15,13
1114,14,2,15,11
1115,17,8,15,10
1116,11,8,12,8
1117,17,4,18,13
1118,23,13,21,16
1119,21,10,21,16
1120,21,14,21,16
1121,12,9,11,9
1122,15,11,15,11
1123,15,10,15,12
1124,21,12,21,15
1125,14,4,15,12
1126,18,10,17,11
1127,17,13,15,9
1128,21,12,21,17
1129,14,9,15,13
1130,15,9,15,10
1131,17,10,17,10
1132,14,10,14,10
1133,18,11,18,13
1134,21,13,21,13
1135,15,8,15,10
1136,15,11,15,10
1137,12,6,12,6
1138,16,10,17,15
1139,15,8,15,12
1140,15,8,13,10
1141,15,11,15,12
1142,12,8,12,9
1143,18,7,18,12
1144,12,9,12,9
1145,21,11,21,15
