EPISODES,DQN,PPO
1,0.0,0.0
2,0.4444444444444444,0.6111111111111112
3,0.5,0.25
4,0.5,0.5882352941176471
5,0.4166666666666667,0.3333333333333333
6,0.4,0.6
7,0.4666666666666667,0.26666666666666666
8,0.4444444444444444,0.5882352941176471
9,0.4117647058823529,0.29411764705882354
10,0.5333333333333333,0.6153846153846154
11,0.5,0.25
12,0.5714285714285714,0.2857142857142857
13,0.5,0.5555555555555556
14,0.5,0.5555555555555556
15,0.6666666666666666,0.6666666666666666
16,0.42857142857142855,0.6190476190476191
17,0.4,0.5333333333333333
18,0.5882352941176471,0.5294117647058824
19,0.6190476190476191,0.5
20,0.2222222222222222,0.5
21,0.3333333333333333,0.38095238095238093
22,0.5,0.35714285714285715
23,0.4444444444444444,0.7058823529411765
24,0.6470588235294118,0.4444444444444444
25,0.625,0.6470588235294118
26,0.3333333333333333,0.5555555555555556
27,0.4,0.5333333333333333
28,0.3076923076923077,0.6428571428571429
29,0.47058823529411764,0.5555555555555556
30,0.38095238095238093,0.5238095238095238
31,0.4444444444444444,0.6111111111111112
32,0.4166666666666667,0.5
33,0.5555555555555556,0.5555555555555556
34,0.3888888888888889,0.4444444444444444
35,0.6111111111111112,0.5
36,0.5714285714285714,0.6190476190476191
37,0.5555555555555556,0.6666666666666666
38,0.19047619047619047,0.3333333333333333
39,0.35294117647058826,0.5882352941176471
40,0.3333333333333333,0.5
41,0.5833333333333334,0.4166666666666667
42,0.4,0.6666666666666666
43,0.6111111111111112,0.5555555555555556
44,0.35,0.6190476190476191
45,0.3888888888888889,0.6111111111111112
46,0.13333333333333333,0.35714285714285715
47,0.5714285714285714,0.47619047619047616
48,0.5833333333333334,0.43478260869565216
49,0.5333333333333333,0.7142857142857143
50,0.3888888888888889,0.5294117647058824
51,0.2,0.5333333333333333
52,0.5384615384615384,0.6
53,0.3333333333333333,0.35714285714285715
54,0.4166666666666667,0.3333333333333333
55,0.2777777777777778,0.5
56,0.45,0.55
57,0.5416666666666666,0.375
58,0.3333333333333333,0.5714285714285714
59,0.6666666666666666,0.75
60,0.4666666666666667,0.6
61,0.5333333333333333,0.6428571428571429
62,0.7222222222222222,0.23529411764705882
63,0.3333333333333333,0.55
64,0.5333333333333333,0.4666666666666667
65,0.5714285714285714,0.5
66,0.5555555555555556,0.4444444444444444
67,0.5384615384615384,0.6428571428571429
68,0.6666666666666666,0.5
69,0.5714285714285714,0.42857142857142855
70,0.5714285714285714,0.47619047619047616
71,0.5416666666666666,0.375
72,0.5416666666666666,0.625
73,0.3888888888888889,0.5555555555555556
74,0.6,0.4666666666666667
75,0.26666666666666666,0.6
76,0.6111111111111112,0.7222222222222222
77,0.5555555555555556,0.3888888888888889
78,0.5833333333333334,0.6666666666666666
79,0.5454545454545454,0.4166666666666667
80,0.47058823529411764,0.5
81,0.4666666666666667,0.4
82,0.45,0.47619047619047616
83,0.18181818181818182,0.36363636363636365
84,0.42857142857142855,0.42857142857142855
85,0.3333333333333333,0.5238095238095238
86,0.3333333333333333,0.5263157894736842
87,0.5555555555555556,0.6111111111111112
88,0.42857142857142855,0.42857142857142855
89,0.6666666666666666,0.5238095238095238
90,0.5,0.5625
91,0.5294117647058824,0.47058823529411764
92,0.35,0.42857142857142855
93,0.25,0.6956521739130435
94,0.6153846153846154,0.5333333333333333
95,0.6111111111111112,0.5294117647058824
96,0.5333333333333333,0.6666666666666666
97,0.35294117647058826,0.5
98,0.5,0.25
99,0.5882352941176471,0.4375
100,0.6111111111111112,0.5
101,0.6666666666666666,0.6666666666666666
102,0.4117647058823529,0.375
103,0.3333333333333333,0.5
104,0.47058823529411764,0.5
105,0.3333333333333333,0.5333333333333333
106,0.3333333333333333,0.4444444444444444
107,0.5,0.6875
108,0.5714285714285714,0.35714285714285715
109,0.42857142857142855,0.7333333333333333
110,0.3888888888888889,0.5625
111,0.6,0.4
112,0.7058823529411765,0.6666666666666666
113,0.35294117647058826,0.5294117647058824
114,0.3333333333333333,0.3888888888888889
115,0.5555555555555556,0.5
116,0.42857142857142855,0.42857142857142855
117,0.5,0.4375
118,0.46153846153846156,0.5384615384615384
119,0.5833333333333334,0.5833333333333334
120,0.5,0.7058823529411765
121,0.3888888888888889,0.5294117647058824
122,0.5,0.4666666666666667
123,0.5789473684210527,0.19047619047619047
124,0.6842105263157895,0.45
125,0.5,0.3333333333333333
126,0.4666666666666667,0.6666666666666666
127,0.42857142857142855,0.4
128,0.6,0.2857142857142857
129,0.5294117647058824,0.6875
130,0.5,0.5
131,0.5,0.45
132,0.5,0.5714285714285714
133,0.2777777777777778,0.5
134,0.5,0.2
135,0.5833333333333334,0.5833333333333334
136,0.5333333333333333,0.6
137,0.5625,0.5882352941176471
138,0.5294117647058824,0.4117647058823529
139,0.3333333333333333,0.4782608695652174
140,0.5,0.5
141,0.5789473684210527,0.5
142,0.6111111111111112,0.5
143,0.6666666666666666,0.3333333333333333
144,0.3333333333333333,0.25
145,0.6666666666666666,0.4
146,0.5294117647058824,0.5882352941176471
147,0.3333333333333333,0.6190476190476191
148,0.38461538461538464,0.4666666666666667
149,0.6,0.5333333333333333
150,0.6111111111111112,0.6111111111111112
151,0.13333333333333333,0.4
152,0.5833333333333334,0.5833333333333334
153,0.5882352941176471,0.5882352941176471
154,0.6190476190476191,0.4
155,0.5333333333333333,0.3333333333333333
156,0.3333333333333333,0.4
